Klasse,Nachname,Vorname,Projekt zugeteilt,Projekt1,Projekt2,Projekt3,Projekt4
10,Name257,Vorname257,18,30,23,15,18
10,Name258,Vorname258,18,41,f,18,23
10,Name259,Vorname259,18,18,23,15,16
10,Name260,Vorname260,18,18,15,37,23
10,Name261,Vorname261,18,30,23,15,18
10,Name262,Vorname262,18,30,15,23,18
10,Name263,Vorname263,18,30,15,23,18
10,Name264,Vorname264,18,41,f,18,23
10,Name265,Vorname265,18,41,f,18,23
10,Name266,Vorname266,18,41,f,18,23
10,Name274,Vorname274,19,30,23,19,29
10,Name284,Vorname284,20,20,13,41,23
10,Name285,Vorname285,20,20,23,7,41
10,Name286,Vorname286,20,15,20,41,32
10,Name307,Vorname307,22,41,30,22,15
10,Name308,Vorname308,22,30,23,41,22
10,Name309,Vorname309,22,22,31,30,23
10,Name391,Vorname391,28,23,30,28,37
10,Name407,Vorname407,30,30,41,15,17
10,Name408,Vorname408,30,30,41,15,7
10,Name409,Vorname409,30,30,32,41,15
10,Name410,Vorname410,30,30,41,29,15
10,Name411,Vorname411,30,30,41,15,17
10,Name412,Vorname412,30,30,22,19,29
10,Name413,Vorname413,30,f,42,30,15
10,Name414,Vorname414,30,30,41,37,7
10,Name415,Vorname415,30,30,32,41,15
10,Name416,Vorname416,30,30,41,15,7
10,Name417,Vorname417,30,30,41,29,23
10,Name418,Vorname418,30,30,41,33,37
10,Name419,Vorname419,30,30,41,15,7
10,Name420,Vorname420,30,30,41,15,17
10,Name421,Vorname421,30,30,41,15,23
10,Name422,Vorname422,30,30,41,15,7
10,Name447,Vorname447,32,32,30,22,17
10,Name448,Vorname448,32,32,30,17,29
10,Name463,Vorname463,34,34,23,f,7
10,Name489,Vorname489,37,30,37,41,23
10,Name490,Vorname490,37,37,23,f,41
10,Name491,Vorname491,37,15,37,41,23
10,Name492,Vorname492,37,37,23,16,8
10,Name493,Vorname493,37,30,37,41,18
10,Name494,Vorname494,37,37,30,1,41
10,Name509,Vorname509,39,39,28,23,43
10,Name510,Vorname510,39,39,28,23,43
10,Name538,Vorname538,41,41,42,15,30
10,Name539,Vorname539,41,f,35,f,41
10,Name543,Vorname543,42,42,5,41,7
10,Name544,Vorname544,42,42,7,23,28
10,Name545,Vorname545,42,42,7,41,23
10,Name546,Vorname546,42,42,41,7,30
10,Name547,Vorname547,42,42,41,7,30
10,Name548,Vorname548,42,42,7,41,23
10,Name549,Vorname549,42,42,41,5,7
10,Name550,Vorname550,42,42,5,23,7
10,Name551,Vorname551,42,42,5,30,29
10,Name552,Vorname552,42,42,7,41,23
10,Name553,Vorname553,42,42,7,41,23
10,Name554,Vorname554,42,42,7,41,23
10,Name569,Vorname569,43,43,13,2,18
10,Name570,Vorname570,43,43,13,8,23
10,Name571,Vorname571,43,43,2,8,23
10,Name579,Vorname579,B,k,k,k,k
11,Name018,Vorname018,1,1,28,23,9
11,Name070,Vorname070,5,5,42,23,30
11,Name071,Vorname071,5,5,42,7,41
11,Name072,Vorname072,5,5,18,7,41
11,Name073,Vorname073,5,5,42,43,39
11,Name074,Vorname074,5,28,5,44,30
11,Name075,Vorname075,5,5,30,7,41
11,Name119,Vorname119,7,41,42,23,7
11,Name155,Vorname155,9,f,9,f,41
11,Name156,Vorname156,9,30,9,23,15
11,Name157,Vorname157,9,30,9,23,15
11,Name198,Vorname198,12,12,41,30,15
11,Name199,Vorname199,12,12,30,23,41
11,Name238,Vorname238,15,29,15,28,37
11,Name239,Vorname239,15,15,41,30,9
11,Name240,Vorname240,15,15,41,30,12
11,Name241,Vorname241,15,15,30,41,20
11,Name242,Vorname242,15,15,17,19,39
